                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     85,                0.56219,                0.38861,                0.94758,                0.98679,                0.96342,                0.98446,                0.89588,                0.42129,                0.31389,                0.88634,               0.001684,               0.001684,               0.001684
                     86,                 0.5524,                0.38302,                0.93951,                0.98853,                0.96305,                0.98689,                0.89876,                 0.4118,                 0.3098,                0.88726,               0.001585,               0.001585,               0.001585
                     87,                 0.5679,                0.38732,                0.92829,                0.98664,                0.96624,                0.98749,                0.90337,                0.40138,                0.31006,                0.88139,               0.001486,               0.001486,               0.001486
                     88,                0.56273,                0.38838,                0.94028,                0.98581,                0.96236,                0.98648,                0.89864,                0.41629,                 0.3126,                0.88839,               0.001387,               0.001387,               0.001387
                     89,                0.55318,                0.38261,                0.93821,                0.98521,                0.96459,                0.98681,                0.90367,                0.40257,                0.30811,                0.87886,               0.001288,               0.001288,               0.001288
                     90,                0.55708,                0.38461,                0.93946,                0.98164,                0.96747,                0.98801,                0.89914,                0.41131,                0.31259,                0.88603,               0.001189,               0.001189,               0.001189
                     91,                0.54154,                0.37496,                0.94476,                0.98825,                0.96632,                0.98752,                0.90539,                0.39628,                0.30292,                0.87837,                0.00109,                0.00109,                0.00109
                     92,                0.55113,                0.37881,                0.94076,                0.98317,                0.96705,                0.98776,                0.89549,                0.41652,                0.30968,                0.88804,               0.000991,               0.000991,               0.000991
                     93,                0.55746,                0.38066,                0.94162,                0.98787,                0.96459,                0.98775,                0.90552,                0.39643,                0.30546,                0.87695,               0.000892,               0.000892,               0.000892
                     94,                0.55159,                0.37815,                0.93144,                0.98802,                 0.9669,                  0.989,                0.90721,                0.39029,                0.29899,                0.87574,               0.000793,               0.000793,               0.000793
                     95,                0.54259,                0.37473,                0.93911,                0.98848,                0.96517,                0.98573,                0.90666,                0.38894,                0.29814,                0.87448,               0.000694,               0.000694,               0.000694
                     96,                0.54585,                0.38162,                0.94384,                0.98768,                0.96555,                0.98584,                 0.9072,                0.38567,                0.29696,                 0.8733,               0.000595,               0.000595,               0.000595
                     97,                0.54196,                 0.3752,                0.93175,                0.98645,                0.96699,                0.98686,                0.90699,                0.38835,                 0.2991,                0.87377,               0.000496,               0.000496,               0.000496
                     98,                0.54444,                0.38074,                0.93504,                0.98839,                0.96688,                0.98797,                0.90455,                0.39687,                0.30266,                0.87645,               0.000397,               0.000397,               0.000397
                     99,                0.52436,                0.36978,                0.93302,                0.99002,                0.96594,                0.98783,                0.90734,                0.38885,                0.29835,                0.87385,               0.000298,               0.000298,               0.000298
